1	0	6476
2	6476	14290
3	20766	14162
4	34928	793
5	35721	457
6	36178	301
7	36479	819
8	37298	1407
9	38705	827
10	39532	1483
11	41015	816
12	41831	829
13	42660	1424
14	44084	1432
15	45516	1536
16	47052	1547
17	48599	873
18	49472	1491
19	50963	876
20	51839	1499
21	53338	1402
22	54740	864
23	55604	1427
24	57031	865
25	57896	870
26	58766	1512
27	60278	1510
28	61788	1471
29	63259	814
30	64073	833
31	64906	1429
32	66335	865
33	67200	1425
34	68625	1407
35	70032	1441
36	71473	1423
37	72896	1415
38	74311	816
39	75127	1476
40	76603	1485
41	78088	1359
42	79447	1454
43	80901	1500
44	82401	817
45	83218	1464
46	84682	1686
47	86368	1414
48	87782	1472
49	89254	1442
50	90696	1430
51	92126	1370
52	93496	1377
53	94873	881
54	95754	1515
55	97269	830
56	98099	823
57	98922	849
58	99771	812
59	100583	1534
60	102117	822
61	102939	823
62	103762	1556
63	105318	811
64	106129	1463
65	107592	1452
66	109044	828
67	109872	10030
68	119902	18613
69	138515	11785
70	150300	12157
71	162457	9377
72	171834	8846
73	180680	7151
74	187831	13993
75	201824	16552
76	218376	14698
77	233074	14204
78	247278	21573
79	268851	21130
80	289981	15194
81	305175	17984
82	323159	5011
83	328170	8052
84	336222	4647
85	340869	3500
86	344369	3937
87	348306	5048
88	353354	2251
89	355605	1889
90	357494	2505
91	359999	4305
92	364304	3299
93	367603	3171
94	370774	4250
95	375024	2810
96	377834	8385
97	386219	5955
98	392174	8267
99	400441	26668
100	427109	12008
101	439117	15362
102	454479	40215
103	494694	32908
104	527602	4951
105	532553	15289
106	547842	23279
107	571121	3623
108	574744	2565
109	577309	5105
110	582414	3704
111	586118	3794
112	589912	4824
113	594736	3711
114	598447	3290
115	601737	4541
116	606278	2813
117	609091	4463
118	613554	11832
119	625386	13905
120	639291	3584
121	642875	1707
122	644582	610
123	645192	13925
124	659117	13450
125	672567	7538
126	680105	29570
127	709675	4140
128	713815	2285
129	716100	2732
130	718832	4191
131	723023	8820
132	731843	5431
133	737274	247
134	737521	3288
135	740809	8603
136	749412	2750
137	752162	2402
138	754564	4313
139	758877	1991
140	760868	2688
141	763556	2119
142	765675	1421
143	767096	6601
144	773697	3278
145	776975	21048
146	798023	4878
147	802901	1612
148	804513	7388
149	811901	305
150	812206	36391
151	848597	6016
152	854613	4576
153	859189	5067
154	864256	2890
155	867146	1982
156	869128	10470
157	879598	2323
158	881921	4614
159	886535	7472
160	894007	5647
161	899654	6347
162	906001	5648
163	911649	7720
164	919369	10136
165	929505	11130
166	940635	13458
167	954093	2069
168	956162	896
169	957058	2429
170	959487	1847
171	961334	2741
172	964075	3317
173	967392	2008
174	969400	2383
175	971783	1670
176	973453	2390
177	975843	1684
178	977527	1675
179	979202	1341
180	980543	5119
181	985662	1527
182	987189	3560
183	990749	2318
184	993067	1307
185	994374	3632
186	998006	2159
187	1000165	4701
